text,summary
"Tamin'ny voalohany Andriamanitra nahary ny lanitra sy ny tany.","sostok Andriamanitra nahary ny lanitra sy ny tany. eostok"
"Ary ny tany dia tsy nisy endrika sady foana; ary aizina no tambonin'ny lalina.","sostok ny tany dia tsy nisy endrika. eostok"
"Ary ny fanahin'Andriamanitra nanomba tambonin'ny rano.","sostok ny fanahin'Andriamanitra nanomba ny rano. eostok"
"Ary Andriamanitra nanao hoe: Misia mazava; dia nisy mazava.","sostok Andriamanitra nanao hoe miasa mazava dia nisy. eostok"
"Ary hitan'Andriamanitra fa tsara ny mazava; ary nampisarahin'Andriamanitra ny mazava sy ny maizina.","sostok hitan'Andriamanitra fa tsara mazava; ary nampisarahin'Andriamanitra ny mazava sy ny maizina. eostok"
"Ary Andriamanitra nanao ny mazava hoe andro; ary ny maizina nataony hoe alina.","sostok Andriamanitra nanao ny mazava hoe andro; ary ny maizina nataony hoe alina. eostok"
"Dia nisy hariva, ary nisy maraina, andro voalohany izany.","sostok nisy hariva, ary nisy maraina. eostok"
"Ary Andriamanitra nanao hoe: Misia habakabaka eo anelanelan'ny rano; ary aoka hampisaraka ny rano amin'ny rano izy.","sostok Andriamanitra nanao hoe: misa habakabaka; ary hampisaraka ny rano amin'ny rano izy. eostok"
"Ary Andriamanitra nanao ny habakabakaka ka nampisaraka ny rano ambanin'ny habakabaka tamin'ny rano ambonin'ny habakabaka; dia nisy izany.","sostok Andriamanitra nanao ny habakabaka. eostok"
"Ary Andriamanitra nanao ny habakabaka hoe lanitra.","sostok Andriamanitra nanao ny habakabaka hoe lanitra. eostok"
"Dia nisy hariva, ary nisy maraina, andro faharoa izany.","sostok nisy hariva, ary nisy maraina. eostok"
"Ary Andriamanitra nanao hoe : Aoka hiangona ny rano eny ambanin'ny lanitra ho eo amin'ny fitoerana iray, ary aoka hiseho ny maina; dia nisy izany.","sostok Aoka hiangona ny rano eny lanitra ho eo fitoerana. eostok"
"Ary Andriamanitra nanao ny maina hoe tany; ary ny rano tafangona nataony hoe ranomasina.","sostok Andriamanitra nanao ny maina hoe tany; ary ny rano hoe ranomasina. eostok"
"Ary hitan'Andriamanitra fa tsara izany.","sostok hitan'Andriamanitra fa tsara izany. eostok"
"Ary Andriamanitra nanao hoe: Aoka ny tany haniry ahitra sy anana mamoa ary hazo fihinam-boa izay mamoa, samy araka ny karazany avy, ka manam-boa ao aminy, eny ambonin'ny tany; dia nisy izany.","sostok Andriamanitra nanao ny tany haniry ahitra. eostok"
"Ary ny tany naniry ahitra sy anana mamoa samy araka ny karazany avy, ary hazo mamoa izay manam-boa ao aminy, samy araka ny karazany avy.","sostok ny tany naniry ahitra sy anana mamoa. eostok"
"Dia nisy hariva, ary nisy maraina, andro fahatelo izany.","sostok nisy hariva, ary nisy maraina. eostok"
"Ary Andriamanitra nanao hoe: Misia fahazavana eny amin'ny habakabaky ny lanitra hampisaraka ny andro sy ny alina; ary aoka ho famantarana sy ho fotoana ary ho andro sy taona ireo.","sostok Andriamanitra nanao hoe misia ny mazava. eostok"
